Name,Link,latitudine,longitudine
Global,https://open.spotify.com/playlist/37i9dQZEVXbLiRSasKsNU9,0,0
Arabia_Saudita,https://open.spotify.com/playlist/37i9dQZEVXbMq8xkWZE6se,24.6877300,46.7218500
Argentina,https://open.spotify.com/playlist/37i9dQZEVXbJajpaXyaKll,-34.6131500,-58.3772300
Australia,https://open.spotify.com/playlist/37i9dQZEVXbO5MSE9RdfN2,-35.2834600,149.1280700
Austria,https://open.spotify.com/playlist/37i9dQZEVXbKxYYIUIgn7V,48.2084900,16.3720800
Belgio,https://open.spotify.com/playlist/37i9dQZEVXbJx9hUtTN0Sj,50.8504500,4.3487800
Bielorussia,https://open.spotify.com/playlist/37i9dQZEVXbK2SUzp56yYx,53.9000000,27.5666700
Bolivia,https://open.spotify.com/playlist/37i9dQZEVXbMTKZuy8ORFV,-19.0333200,-65.2627400
Brasile,https://open.spotify.com/playlist/37i9dQZEVXbMOkSwG072hV,-15.7797200,-47.9297200
Bulgaria,https://open.spotify.com/playlist/37i9dQZEVXbJcpVBLdFV7m,42.6975100,23.3241500
Canada,https://open.spotify.com/playlist/37i9dQZEVXbKfIuOAZrk7G,45.4111700,-75.6981200
Repubblica_Ceca,https://open.spotify.com/playlist/37i9dQZEVXbMBUm3g7j4Kb,50.0880400,14.4207600
Cile,https://open.spotify.com/playlist/37i9dQZEVXbJs8e2vk15a8,-33.4569400,-70.6482700
Colombia,https://open.spotify.com/playlist/37i9dQZEVXbKrooeK9WSFF,4.6097100,-74.0817500
Corea_sud,https://open.spotify.com/playlist/37i9dQZEVXbM1H8L6Tttw9,37.5660000,126.9784000
Costa_Rica,https://open.spotify.com/playlist/37i9dQZEVXbKOefHPXPMyf,9.9333300,-84.0833300
Danimarca,https://open.spotify.com/playlist/37i9dQZEVXbMA8BIYDeMkD,55.6759400,12.5655300
Ecuador,https://open.spotify.com/playlist/37i9dQZEVXbJpRQ294oZ9N,-0.2298500,-78.5249500
Egitto,https://open.spotify.com/playlist/37i9dQZEVXbJSvmuZN9Jja,30.0626300,31.2496700
El_Salvador,https://open.spotify.com/playlist/37i9dQZEVXbLo3yC8XJf1e,13.6893500,-89.1871800
EAU,https://open.spotify.com/playlist/37i9dQZEVXbN6kflPvZZn0,24.4666700,54.3666700
Estonia,https://open.spotify.com/playlist/37i9dQZEVXbK4KA2JSuft7,59.4369600,24.7535300
Filippine,https://open.spotify.com/playlist/37i9dQZEVXbJv2Mvelmc3I,14.6042000,120.9822000
Finlandia,https://open.spotify.com/playlist/37i9dQZEVXbMBNcyQCfU4w,60.1695200,24.9354500
Francia,https://open.spotify.com/playlist/37i9dQZEVXbJmRv5TqJW16,48.8534100,2.3488000
Germania,https://open.spotify.com/playlist/37i9dQZEVXbNv6cjoMVCyg,52.5243700,13.4105300
Giappone,https://open.spotify.com/playlist/37i9dQZEVXbINTEnbFeb8d,35.6895000,139.6917100
Grecia,https://open.spotify.com/playlist/37i9dQZEVXbLOov4J0GutU,37.9794500,23.7162200
Guatemala,https://open.spotify.com/playlist/37i9dQZEVXbNF1heNYHDnE,14.6407200,-90.5132700
Honduras,https://open.spotify.com/playlist/37i9dQZEVXbNpKdqfZ9Upp,14.0818000,-87.2068100
India,https://open.spotify.com/playlist/37i9dQZEVXbK4NvPi6Sxit,28.6357600,77.2244500
Indonesia,https://open.spotify.com/playlist/37i9dQZEVXbKpV6RVDTWcZ,-6.2146200,106.8451300
Irlanda,https://open.spotify.com/playlist/37i9dQZEVXbLzhUVGQUCoe,53.3330600,-6.2488900
Islanda,https://open.spotify.com/playlist/37i9dQZEVXbMHnoaLVkVuk,64.1354800,-21.8954100
Israele,https://open.spotify.com/playlist/37i9dQZEVXbNGlbFNNXxgC,31.7690400,35.2163300
Italia,https://open.spotify.com/playlist/37i9dQZEVXbKbvcwe5owJ1,41.8919300,12.5113300
Kazakistan,https://open.spotify.com/playlist/37i9dQZEVXbMS8ULOsBprs,51.1801000,71.4459800
Lettonia,https://open.spotify.com/playlist/37i9dQZEVXbIUY6VUoboP4,56.9460000,24.1058900
Lituania,https://open.spotify.com/playlist/37i9dQZEVXbLDLOTfCtAUM,54.6891600,25.2798000
Lussemburgo,https://open.spotify.com/playlist/37i9dQZEVXbJ9SRaVj0yDF,49.6116700,6.1300000
Malesia,https://open.spotify.com/playlist/37i9dQZEVXbLRmg3qDbY1H,3.1412000,101.6865300
Marocco,https://open.spotify.com/playlist/37i9dQZEVXbIVezQItttaL,34.0132500,-6.8325500
Messico,https://open.spotify.com/playlist/37i9dQZEVXbLuUZrygauiA,19.4284700,-99.1276600
Nicaragua,https://open.spotify.com/playlist/37i9dQZEVXbKgCVIE0PTOD,12.1328200,-86.2504000
Nigeria,https://open.spotify.com/playlist/37i9dQZEVXbM3VfeOze6rq,9.0578500,7.4950800
Norvegia,https://open.spotify.com/playlist/37i9dQZEVXbOcsE2WCaJa2,59.9127300,10.7460900
Nuova_Zelanda,https://open.spotify.com/playlist/37i9dQZEVXbJ7gPAehey5W,-41.2866400,174.7755700
Paesi_Bassi,https://open.spotify.com/playlist/37i9dQZEVXbMQaPQjt027d,52.3740300,4.8896900
Pakistan,https://open.spotify.com/playlist/37i9dQZEVXbNP8iUSeeWnH,33.7214800,73.0432900
Panama,https://open.spotify.com/playlist/37i9dQZEVXbMIO7B1pcKUy,8.9936000,-79.5197300
Paraguay,https://open.spotify.com/playlist/37i9dQZEVXbNxY4E5g33Gy,-25.3006600,-57.6359100
Peru,https://open.spotify.com/playlist/37i9dQZEVXbN7gfhgaomhA,-12.0431800,-77.0282400
Polonia,https://open.spotify.com/playlist/37i9dQZEVXbNGGDnE9UFTF,52.2297700,21.0117800
Portogallo,https://open.spotify.com/playlist/37i9dQZEVXbKHoaIcElSSA,38.7166700,-9.1333300
Hong_Kong,https://open.spotify.com/playlist/37i9dQZEVXbKXd6qahcpCg,22.2855200,114.1576900
Regno_Unito,https://open.spotify.com/playlist/37i9dQZEVXbL3DLHfQeDmV,51.5085300,-0.1257400
Repubblica_Dominicana,https://open.spotify.com/playlist/37i9dQZEVXbJWZV7aRNQck,18.476389,-69.893333
Romania,https://open.spotify.com/playlist/37i9dQZEVXbNwDVyEEfWV3,44.4322500,26.1062600
Singapore,https://open.spotify.com/playlist/37i9dQZEVXbJVi45MafAu0,1.2896700,103.8500700
Slovacchia,https://open.spotify.com/playlist/37i9dQZEVXbK3Iy2zvpfp4,48.1481600,17.1067400
Spagna,https://open.spotify.com/playlist/37i9dQZEVXbMfVLvbaC3bj,40.4165000,-3.7025600
Stati_Uniti,https://open.spotify.com/playlist/37i9dQZEVXbKuaTI1Z1Afx,38.8951100,-77.0363700
Sudafrica,https://open.spotify.com/playlist/37i9dQZEVXbNaCk6h5bujZ,-25.7448600,28.1878300
Svezia,https://open.spotify.com/playlist/37i9dQZEVXbIPOivNiyjjS,59.3325800,18.0649000
Svizzera,https://open.spotify.com/playlist/37i9dQZEVXbNjqq6Tw4Fb0,46.9480900,7.4474400
Taiwan,https://open.spotify.com/playlist/37i9dQZEVXbMGnTCc4Vx7v,25.0477600,121.5318500
Thailandia,https://open.spotify.com/playlist/37i9dQZEVXbMnf7ONzeQWM,13.7539800,100.5014400
Turchia,https://open.spotify.com/playlist/37i9dQZEVXbMIJZxwqzod6,39.9198700,32.8542700
Ucraina,https://open.spotify.com/playlist/37i9dQZEVXbLwLH0YjrtGb,50.4546600,30.5238000
Ungheria,https://open.spotify.com/playlist/37i9dQZEVXbLuey1EKVv9I,47.4980100,19.0399100
Uruguay,https://open.spotify.com/playlist/37i9dQZEVXbM1qaaFAyPLz,-34.9032800,-56.1881600
Venezuela,https://open.spotify.com/playlist/37i9dQZEVXbNPLSoVD2b8U,10.4880100,-66.8791900
Vietnam,https://open.spotify.com/playlist/37i9dQZEVXbL1G1MbPav3j,21.0245000,105.8411700






