country,isrc,uri,genres,danceability,energy,speechiness,acousticness,instrumentalness,valence,tempo
Arabia_Saudita,USSM12200612,spotify:track:4Dvkj6JhhA12EX05fT7y2e,['pop'],0.52,0.731,0.0557,0.342,0.00101,0.662,173.93
Arabia_Saudita,GBCNR8500002,spotify:track:75FEaRjZTKLhTrFGsfMUXR,"['art pop', 'art rock', 'baroque pop', 'new wave pop', 'permanent wave', 'piano rock', 'singer-songwriter']",0.629,0.547,0.055,0.72,0.00314,0.197,108.375
Arabia_Saudita,USRC11903813,spotify:track:58HvfVOeJY7lUuCqF0m3ly,"['alt z', 'pop']",0.41,0.611,0.0467,0.0228,0,0.0899,185.727
Arabia_Saudita,EGA010551937,spotify:track:5kQCI3faUHASM28R91ksUY,"['arab pop', 'egyptian pop', 'shaabi']",0.695,0.391,0.0441,0.734,0,0.355,117.948
Arabia_Saudita,GBARL1300107,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,"['chill pop', 'pop']",0.442,0.538,0.0451,0.717,2.95e-05,0.139,122.758
Arabia_Saudita,GBUM72000433,spotify:track:02MWAaffLxlfxAUY7c5dvx,"['gauze pop', 'indietronica', 'shiver pop']",0.761,0.525,0.0944,0.44,6.7e-06,0.531,80.87
Arabia_Saudita,GBKPL1412568,spotify:track:0zCgWGmDF0aih5qexATyBn,['weirdcore'],0.579,0.601,0.0322,0.0673,0.414,0.0392,140.019
Arabia_Saudita,USUG12000658,spotify:track:5QO79kh1waicV47BqGRL3g,"['canadian contemporary r&b', 'canadian pop', 'pop']",0.68,0.826,0.0309,0.0212,1.24e-05,0.644,118.051
Arabia_Saudita,USUM72119916,spotify:track:1HhNoOuqm1a5MXYEgAFl8o,"['modern rock', 'rock']",0.728,0.783,0.266,0.237,0,0.555,77.011
Arabia_Saudita,USSM11300080,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,"['modern alternative rock', 'modern rock', 'pop', 'shimmer pop']",0.612,0.807,0.0336,0.0495,0.0177,0.398,124.053
Arabia_Saudita,DELJ81813146,spotify:track:6ChnGkBwnq2HUJD24YhMhW,['sad lo-fi'],0.618,0.496,0.0504,0.83,0,0.255,143.299
Arabia_Saudita,USSM11800523,spotify:track:2K7xn816oNHJZ0aVqdQsha,"['modern alternative rock', 'modern rock', 'pop', 'shimmer pop']",0.575,0.568,0.03,0.0484,0.000417,0.37,93.986
Arabia_Saudita,USSM12103949,spotify:track:5PjdY0CKGZdEuoNab3yDmX,['australian hip hop'],0.591,0.764,0.0483,0.0383,0,0.478,169.928
Arabia_Saudita,USSM11703468,spotify:track:2eAvDnpXP5W0cVtiI0PUxV,"['alt z', 'canadian contemporary r&b', 'canadian pop', 'pop']",0.609,0.692,0.0259,0.0157,0,0.454,116.959
Arabia_Saudita,USC4R1100576,spotify:track:1ABd3bWsG4FCKePjXeVfJG,['acoustic pop'],0.649,0.821,0.0313,0.0302,0.000141,0.661,121.938
Arabia_Saudita,USSM12104539,spotify:track:5Z9KJZvQzH6PFmb8SNkxuk,"['lgbtq+ hip hop', 'pop']",0.741,0.691,0.0672,0.0221,0,0.892,150.087
Arabia_Saudita,GBARL1301427,spotify:track:62ke5zFUJN6RvtXZgVH0F8,"['british soul', 'dance pop', 'europop', 'neo soul']",0.566,0.885,0.0818,0.0958,9.97e-05,0.304,90.99
Arabia_Saudita,KRMIM2143610,spotify:track:10IfXtjKQmOiON7tNAHv0y,['k-pop'],0.488,0.427,0.0382,0.354,0,0.157,72.035
Arabia_Saudita,GBMQN1100004,spotify:track:7DFNE7NO0raLIUbgzY2rzm,"['folk-pop', 'neo mellow', 'pop', 'pop rock']",0.509,0.538,0.0572,0.385,0,0.244,75.089
Arabia_Saudita,GBCEL0700074,spotify:track:58ge6dfP91o9oXMzq3XkIS,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']",0.52,0.852,0.0543,0.00237,5.79e-05,0.234,140.267
Arabia_Saudita,USRC12101532,spotify:track:6Uj1ctrBOjOas8xZXGqKk4,"['dance pop', 'pop']",0.824,0.764,0.0854,0.0888,0.00294,0.881,107.998
Arabia_Saudita,USUM71924264,spotify:track:4xqrdfXkTW4T0RauPLv3WA,"['bedroom pop', 'pop']",0.357,0.425,0.0333,0.584,0,0.27,102.078
Arabia_Saudita,GBHMU1400165,spotify:track:5O2P9iiztwhomNh8xkR9lJ,"['boy band', 'pop', 'post-teen pop', 'talent show']",0.672,0.52,0.0353,0.859,0,0.37,120.001
Arabia_Saudita,EGA010550715,spotify:track:5hiQSNo6jQbQ2m2gBZs7bU,['egyptian alternative'],0.444,0.5,0.0666,0.804,2.05e-06,0.271,147.757
Arabia_Saudita,EGA252201974,spotify:track:5kdlxZ5skOYY3VK8RlfEIZ,"['egyptian hip hop', 'egyptian trap']",0.78,0.59,0.132,0.487,1.07e-05,0.66,104.977
Arabia_Saudita,CAQ8S1622677,spotify:track:0F66LkXiihhVNKpWSqKgjy,['sheilat'],0.689,0.566,0.12,0.835,3.98e-05,0.503,93.089
Arabia_Saudita,USAT22202139,spotify:track:1PckUlxKqWQs3RlWXVBLw3,"['dance pop', 'escape room', 'minnesota hip hop', 'pop', 'trap queen']",0.836,0.743,0.0656,0.0995,0,0.722,108.966
Arabia_Saudita,USBQU1700034,spotify:track:3AVrVz5rK8Hrqo9YGiVGN5,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",0.369,0.467,0.0274,0.0194,0.46,0.174,94.473
Arabia_Saudita,USUG11904206,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,"['canadian contemporary r&b', 'canadian pop', 'pop']",0.514,0.73,0.0598,0.00146,9.54e-05,0.334,171.005
Arabia_Saudita,GBBKS1000335,spotify:track:6IAZHEBUIGJ6NJKxxOBIEr,"['british soul', 'pop', 'pop soul', 'uk pop']",0.73,0.769,0.0298,0.138,0,0.507,104.948
Arabia_Saudita,USSM12200610,spotify:track:1qEmFfgcLObUfQm0j1W2CK,['pop'],0.714,0.728,0.0468,0.298,0,0.901,114.996
Arabia_Saudita,GBARL1800368,spotify:track:7ef4DlsgrMEH11cDZd32M6,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'pop rap', 'progressive house', 'uk dance']",0.791,0.862,0.11,0.037,2.19e-05,0.592,123.994
Arabia_Saudita,USAT21700859,spotify:track:1SOClUWhOi8vHZYMz3GluK,"['modern rock', 'pop']",0.671,0.673,0.0444,0.148,5.29e-05,0.494,121.963
Arabia_Saudita,USAT22203024,spotify:track:0wHFktze2PHC5jDt3B17DC,"['deep underground hip hop', 'kentucky hip hop', 'rap']",0.902,0.582,0.109,0.111,3.18e-06,0.332,107.005
Arabia_Saudita,FRUM71400048,spotify:track:6nGeLlakfzlBcFdZXteDq7,['french pop'],0.375,0.255,0.0376,0.815,0,0.331,95.978
Arabia_Saudita,USSM12200615,spotify:track:6uvh0In7u1Xn4HgxOfAn8O,['pop'],0.507,0.294,0.04,0.896,1.97e-05,0.386,114.199
Arabia_Saudita,USAT21503701,spotify:track:2DgdHcjWmO3qd50RzuBLgZ,['modern rock'],0.506,0.817,0.0335,0.00272,0,0.506,109.952
Arabia_Saudita,USUG12101839,spotify:track:1oFAF1hdPOickyHgbuRjyX,"['canadian contemporary r&b', 'canadian pop', 'pop']",0.65,0.825,0.0325,0.0215,2.44e-05,0.593,118.091
Arabia_Saudita,aea142200457,spotify:track:2h9VSz8bhwaVXaSFdRrUXM,"['khaleeji iraqi', 'khaliji']",0.419,0.697,0.162,0.77,0,0.635,80.869
Arabia_Saudita,USUM72102635,spotify:track:6I3mqTwhRpn34SLVafSH7G,"['canadian pop', 'pop']",0.601,0.741,0.0478,0.185,2.91e-05,0.441,153.96
Arabia_Saudita,USUG12101243,spotify:track:5CZ40GBx1sQ9agT82CLQCT,['pop'],0.38,0.339,0.0338,0.691,0,0.0849,100.607
Arabia_Saudita,TCACC1438995,spotify:track:4SqWKzw0CbA05TGszDgMlc,['chicago indie'],0.575,0.648,0.0358,0.583,0,0.466,75.977
Arabia_Saudita,aea142106767,spotify:track:5EKVL6XHsGCWeMik7XBMh8,"['classic arab pop', 'khaliji']",0.42,0.703,0.168,0.487,0,0.694,79.495
Argentina,USHR12243202,spotify:track:7kYbxvrGXv8cmKjkqgqhrw,"['latin pop', 'pop argentino']",0.801,0.633,0.0777,0.414,0,0.676,92.025
Argentina,QM6MZ2214888,spotify:track:3k3NWokhRRkEPhCzPmV8TW,"['latin', 'reggaeton', 'trap latino']",0.647,0.686,0.0413,0.08,1.34e-06,0.268,79.928
Argentina,QM6MZ2214877,spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,"['latin', 'reggaeton', 'trap latino']",0.911,0.712,0.0817,0.0901,2.68e-05,0.425,92.005
Argentina,QM6MZ2214875,spotify:track:6Xom58OOXk2SoU711L2IXO,"['latin', 'reggaeton', 'trap latino']",0.804,0.674,0.0333,0.294,1.18e-06,0.292,99.968
Argentina,UYB282240008,spotify:track:6bQ5823aHmFVKLZW8E7rRo,"['argentine hip hop', 'trap argentino', 'trap latino', 'trap triste']",0.789,0.837,0.23,0.125,0,0.476,81.536
Argentina,USSD12200203,spotify:track:1TpZKxGnHp37ohJRszTSiq,['pop argentino'],0.761,0.696,0.0505,0.0811,6.25e-05,0.501,95.066
Argentina,USWL12200064,spotify:track:1uK5rDY3BnikyG0sl3tPpc,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'pop', 'reggaeton']",0.704,0.604,0.0556,0.067,0,0.642,90.028
Argentina,USUM72205906,spotify:track:7dSZ6zGTQx66c2GF91xCrb,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']",0.87,0.516,0.0541,0.656,0.00823,0.53,111.005
Argentina,USQX92201764,spotify:track:2rurDawMfoKP4uHyb2kJBt,"['colombian pop', 'dance pop', 'latin', 'latin pop', 'pop']",0.695,0.636,0.317,0.234,0,0.575,174.14
Argentina,QM4TW2218961,spotify:track:1O2pcBJGej0pmH2Y9XZMs6,"['mambo chileno', 'urbano chileno']",0.87,0.548,0.077,0.0924,4.6e-05,0.832,96.018
Argentina,USHR12243198,spotify:track:3yeFTYLMz4nOtyPXWEMKsW,"['latin pop', 'pop argentino']",0.582,0.382,0.0471,0.71,0,0.28,142.093
Argentina,UYB282206048,spotify:track:2x8oBuYaObjqHqgGuIUZ0b,"['argentine indie', 'trap argentino']",0.654,0.354,0.0738,0.724,0,0.262,81.956
Argentina,UYB282201026,spotify:track:2uky0VCI2EZni0nArOPznM,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino']",0.456,0.91,0.136,0.256,0,0.329,95.927
Argentina,QM6MZ2214878,spotify:track:1IHWl5LamUGEuP4ozKQSXZ,"['latin', 'reggaeton', 'trap latino']",0.65,0.715,0.253,0.0993,0.000291,0.187,106.672
Argentina,CLPP22200023,spotify:track:1txrFHh4XUU3Kp8HcD2TFW,"['trap argentino', 'trap triste']",0.739,0.751,0.0612,0.0391,0,0.587,91.006
Argentina,USSM12200612,spotify:track:4Dvkj6JhhA12EX05fT7y2e,['pop'],0.52,0.731,0.0557,0.342,0.00101,0.662,173.93
